Restaurant Name,Phone,Rate,Price,Zipcode,State,City,Address,Has Delivery,Has Take-out,Has outdoor seating,Parking
Nini’s Deli,(312) 243-9822,5,$,60642,IL,Chicago,543 N Noble St,No,Yes,Yes,Street
Garfield Park Conservatory,(312) 746-5100,5,,60624,IL,Chicago,300 N Central Park,No,No,No,Private Lot
The Tamale Guy,,4_half,$,60622,IL,Chicago,Chicago,Yes,Yes,No,Street
Puppet Bike,,5,,60606,IL,Chicago,Chicago,No,No,No,No
Alinea,(312) 867-0110,4_half,$$$$,60614,IL,Chicago,1723 N Halsted St,No,No,No,Valet
Katherine Anne Confections,(773) 245-1630,4_half,$$,60647,IL,Chicago,2745 W Armitage Ave,No,Yes,No,Street
Spinning J Bakery and Soda Fountain,(872) 829-2793,5,$$,60622,IL,Chicago,1000 N California Ave,No,Yes,Yes,Street
Kai Zan,(773) 278-5776,4_half,$$$,60622,IL,Chicago,2557 W Chicago Ave,No,No,No,Street
Two Hearted Queen,(773) 360-8189,5,$,60657,IL,Chicago,1201 W Roscoe St,No,Yes,No,Street
Art Institute of Chicago,(312) 443-3600,4_half,,60603,IL,Chicago,111 S Michigan Ave,No,No,No,No
Taco Bell,(773) 281-5063,4_half,$,60614,IL,Chicago,2575 North Clybourn,No,Yes,Yes,Private Lot
Chicago Pizza Tours,(888) 210-3237,5,$$$,60603,IL,Chicago,Chicago,No,No,No,Garage
Ipsento,(773) 904-8177,4_half,$,60647,IL,Chicago,2035 N Western Ave,No,Yes,Yes,Street
Oriole,(312) 877-5339,5,$$$$,60661,IL,Chicago,661 W. Walnut St.,No,No,No,No
En Hakkore,(773) 772-9880,4_half,$$,60647,IL,Chicago,1840 N Damen Ave,No,Yes,No,Street
J.P. Graziano Grocery Co.,(312) 666-4587,4_half,$,60607,IL,Chicago,901 W Randolph St,Yes,Yes,Yes,Street
Eva’s Cafe,(312) 280-8900,4_half,$,60610,IL,Chicago,1447 N Sedgwick,No,Yes,No,Street
Lincoln Park Alfred Caldwell Lily Pool,,5,,60689,IL,Chicago,Fullerton Pkwy and Cannon Dr,No,No,No,No
Millennium Park,(312) 742-1168,4_half,,60602,IL,Chicago,201 E Randolph St,No,No,No,No
Bavette’s Bar & Boeuf,(312) 624-8154,4_half,$$$,60654,IL,Chicago,218 W Kinzie St,No,No,No,"Valet,  Street"
Bari,(312) 666-0730,4_half,$,60642,IL,Chicago,1120 W Grand Ave,Yes,Yes,No,Street
B.L.U.E.S.,(773) 528-1012,4_half,$,60614,IL,Chicago,2519 N Halsted St,No,No,No,Street
Ipsento 606,(872) 206-8697,4_half,$$,60647,IL,Chicago,1813 N Milwaukee Ave,No,Yes,No,Street
Sip Coffee House & Garden,(312) 563-1123,4_half,$,60642,IL,Chicago,1223 W Grand Ave,No,Yes,Yes,Street
The Cloud Gate,(312) 742-1168,4_half,,60602,IL,Chicago,201 E Randolph St,No,No,No,No
Cup & Cup,(773) 697-4421,4_half,$,60647,IL,Chicago,2415 W North Ave,No,Yes,No,Street
Lincoln Park Conservatory,(312) 742-7736,4_half,,60614,IL,Chicago,2391 N Stockton Dr,No,No,No,Street
Star Lounge Coffee Bar,(773) 384-7827,4_half,$,60622,IL,Chicago,2521 W Chicago Ave,No,Yes,Yes,Street
Girl & the Goat,(312) 492-6262,4_half,$$$,60607,IL,Chicago,809 W Randolph St,No,No,Yes,Valet
Loop Juice,(312) 775-0208,4_half,$,60661,IL,Chicago,131 N Clinton St,No,Yes,No,"Garage, Street, Validated"
The Wormhole Coffee,(773) 661-2468,4_half,$,60622,IL,Chicago,1462 N Milwaukee Ave,No,Yes,Yes,Street
El Habanero,(773) 227-9225,4_half,$,60647,IL,Chicago,3300 W Fullerton Ave,No,Yes,No,Street
Bohemian House,(312) 955-0439,4_half,$$$,60654,IL,Chicago,11 W Illinois St,No,No,No,Street
Vinnie’s Sub Shop,(312) 738-2985,4_half,$,60642,IL,Chicago,1204 W Grand Ave,Yes,Yes,Yes,Street
Scone City,(773) 904-8722,4_half,$,60622,IL,Chicago,1632 W Division St,Yes,Yes,Yes,Street
Pi-Hi Cafe,(773) 472-7444,4_half,$,60618,IL,Chicago,3539 N Western Ave,Yes,Yes,No,Private Lot
Grace,(312) 234-9494,4_half,$$$$,60661,IL,Chicago,652 W Randolph St,No,No,No,"Valet, Street"
Rosa’s Lounge,(773) 342-0452,4_half,$$,60647,IL,Chicago,3420 W Armitage Ave,No,No,No,Street
UB Dogs,(312) 251-7009,4_half,$,60606,IL,Chicago,185 N Franklin St,Yes,Yes,Yes,"Garage, Street"
The Chicago Diner,(773) 252-3211,4_half,$$,60647,IL,Chicago,2333 N Milwaukee Ave,No,Yes,No,Street
Loving Heart,(773) 561-5399,5,$,60613,IL,Chicago,838 W Montrose Ave,Yes,Yes,No,Street
The Corned Beef Factory Sandwich Shop,(312) 666-2535,4_half,$$,60607,IL,Chicago,1009 W Lake St,Yes,Yes,Yes,Street
Joe’s Seafood,(312) 379-5637,4_half,$$$$,60611,IL,Chicago,60 E Grand Ave,Yes,Yes,No,Valet
Ruxbin,(312) 624-8509,4_half,$$$,60622,IL,Chicago,851 N Ashland Ave,No,No,No,Street
DAVIDsTEA,(773) 360-1320,4_half,$$,60657,IL,Chicago,3530 N Southport,No,Yes,No,Street
The Coffee & Tea,(773) 528-2241,4_half,$,60657,IL,Chicago,3311 N Broadway,No,Yes,Yes,Street
Fogo de Chão Brazilian Steakhouse,(312) 932-9330,4_half,$$$,60654,IL,Chicago,661 N Lasalle Blvd,No,No,No,"Valet, Street"
Puesto Sandwich Stand,(773) 661-2490,5,$,60657,IL,Chicago,3349 N Sheffield Ave,No,Yes,Yes,Street
D’amato’s Bakery,(312) 733-5456,4_half,$,60622,IL,Chicago,1124 W Grand Ave,No,Yes,Yes,Street
Flub A Dub Chub’s,(773) 857-6500,4_half,$,60657,IL,Chicago,3021 N Broadway,Yes,Yes,Yes,Street
The Bento Box,(773) 278-3932,4_half,$$,60647,IL,Chicago,2246 W Armitage Ave,Yes,Yes,No,Street
Paciugo Broadway,(773) 248-8433,4_half,$,60657,IL,Chicago,3241 N Broadway St,No,Yes,Yes,Street
Panes Bread Cafe,(773) 665-0972,4_half,$,60657,IL,Chicago,3002 N Sheffield Ave,Yes,Yes,Yes,Street
Zizi’s Cafe,(773) 697-9228,4_half,$$,60657,IL,Chicago,2825 N Sheffield Ave,Yes,Yes,Yes,Street
Lowcountry,(773) 996-9997,4_half,$$,60657,IL,Chicago,3343 N Clark St,No,Yes,No,Street
De Quay,(872) 206-8820,4_half,$$$,60614,IL,Chicago,2470 N Lincoln Ave,No,No,No,Street
Antico,(773) 489-4895,4_half,$$$,60647,IL,Chicago,1946 N Leavitt St,No,Yes,Yes,Street
Fatso’s Last Stand,(773) 245-3287,4_half,$,60622,IL,Chicago,2258 W Chicago Ave,Yes,Yes,Yes,Private Lot
The Office,(312) 226-0868,4_half,$$$$,60607,IL,Chicago,955 W Fulton Market,No,No,No,Valet
Au Cheval,(312) 929-4580,4_half,$$,60607,IL,Chicago,800 W Randolph S,No,No,No,"Valet, Street"
Serai,(872) 206-8368,4_half,$$,60647,IL,Chicago,2169 N Milwaukee Ave,Yes,Yes,No,"Street, Private lot"
Yuzu Sushi & Robata Grill,(312) 666-4100,4_half,$$,60622,IL,Chicago,1751 W Chicago Ave,Yes,Yes,No,Street
Adams Playground Park,(312) 742-7787,4_half,,60614,IL,Chicago,1919 N Seminary,No,No,No,No
Big Shoulders Coffee,(312) 888-3042,4_half,$$,60642,IL,Chicago,1105 W Chicago Ave,No,Yes,No,Street
Everybody’s Coffee,(773) 303-6220,5,$,60640,IL,Chicago,935 W Wilson Ave,No,Yes,No,Street
Mana Food Bar,(773) 342-1742,4,$$,60622,IL,Chicago,1742 W Division St,Yes,Yes,Yes,Street
Staropolska Restaurant,(773) 342-0779,4_half,$$,60618,IL,Chicago,3030 N Milwaukee Ave,Yes,Yes,No,Street
DAVIDsTEA,(773) 697-9737,4_half,$$,60647,IL,Chicago,1645A N Damen Ave,No,Yes,No,Street
Upton’s Breakroom,(312) 666-7838,4_half,$,60612,IL,Chicago,2054 W Grand Ave,Yes,Yes,No,Street
Casa Yari,(773) 661-9546,4_half,$$,60647,IL,Chicago,3268 W Fullerton Ave,No,Yes,No,Street
Caffe Umbria,(312) 877-5166,5,$,60654,IL,Chicago,346 N Clark St,No,Yes,No,Garage
Lotus Cafe & Juice Bar,(312) 733-7595,4_half,$,60607,IL,Chicago,719 W Maxwell St,Yes,Yes,Yes,"Garage, Street"
Viaggio Ristorante & Lounge,(312) 829-3333,4_half,$$,60607,IL,Chicago,1330 W Madison St,No,Yes,Yes,"Valet, Garage, Stree"
The Empty Bottle,(773) 276-3600,4_half,$,60622,IL,Chicago,1035 N Western Ave,No,No,No,Street
Penumbra Wine Bar,(773) 772-2343,5,$$,60647,IL,Chicago,3309 w Fullerton ave,No,Yes,No,No
Arbor,(312) 866-0795,4_half,$$,60647,IL,Chicago,2545 W Diversey Ave,No,Yes,No,Street
Inspiration Kitchens,(773) 801-1110,4_half,$$,60624,IL,Chicago,3504 W Lake St,No,Yes,No,"Street, Private lot"
Ada Street,(773) 697-7069,4_half,$$$,60642,IL,Chicago,1664 N Ada St,No,No,Yes,Street
TWO,(312) 624-8363,4_half,$$$,60642,IL,Chicago,1132 W Grand Ave,No,Yes,Yes,Street
Pollo Express,(312) 829-1550,4_half,$,60608,IL,Chicago,1315 W 18th St,Yes,Yes,No,Street
Beezzee,(773) 525-3570,4_half,$,60657,IL,Chicago,2807 N Sheffield Ave,Yes,Yes,Yes,Street
Sapori Trattoria,(312) 967-9358,4_half,$$,60614,IL,Chicago,2701 N Halsted St,No,Yes,Yes,Street
Saucy Porka,(312) 662-1351,4_half,$,60605,IL,Chicago,400 S Financial Pl,Yes,Yes,No,Street
The Violet Hour,(773) 252-1500,4,$$$,60622,IL,Chicago,1520 N Damen Ave,No,No,No,Street
Gyros On The Spit,(773) 698-7999,4_half,$$,60657,IL,Chicago,2826 N Lincoln Ave,Yes,Yes,Yes,Private Lot
HQ Howard Quintero,(773) 654-1629,4_half,$$,60618,IL,Chicago,4114 N Kedzie Ave,No,Yes,No,Street
Interurban Cafe and Pastry Shop,(773) 698-7739,4_half,$,60614,IL,Chicago,2008 N Halsted St,No,Yes,Yes,Street
Bang Bang Pie & Biscuits,(773) 276-8888,4,$$,60647,IL,Chicago,2051 N California Ave,Yes,Yes,Yes,Street
Chicago Raw,(312) 831-2729,4_half,$$,60661,IL,Chicago,131 N Clinton St,No,Yes,No,Garage
MK Restaurant,(312) 482-9179,4_half,$$$$,60610,IL,Chicago,868 N Franklin St,No,No,No,"Valet, Street"
Fiore Delicatessen,(312) 942-9419,4_half,$,60612,IL,Chicago,2258 W Erie St,Yes,Yes,Yes,Street
Do-Rite Donuts & Coffee,(312) 488-2483,4_half,$,60601,IL,Chicago,50 West Randolph Street,No,Yes,Yes,Street
Cook Au Vin,(773) 489-3141,4_half,$$$$,60614,IL,Chicago,2256 N Elston Ave,No,No,No,Street
En Hakkore 2.0,(773) 278-5959,4_half,$$,60622,IL,Chicago,1467 N Milwaukee Ave,No,Yes,No,Street
Brightwok Kitchen,(312) 583-0729,4_half,$,60603,IL,Chicago,21 E Adams St,Yes,Yes,No,Garage
Avec,(312) 377-2002,4_half,$$$,60661,IL,Chicago,615 W Randolph St,No,No,No,Street
Schwa,(773) 252-1466,4,$$$$,60622,IL,Chicago,1466 N Ashland Ave,No,No,No,Street
A Tavola,(773) 276-7567,4_half,$$$,60622,IL,Chicago,2148 W Chicago Ave,No,Yes,Yes,Street
The Bagelers Coffeehouse,(872) 802-0347,4_half,$,60614,IL,Chicago,2461 N Lincoln Ave,No,Yes,Yes,Street
Scofflaw,(773) 252-9700,4_half,$$,60647,IL,Chicago,3201 W Armitage Ave,No,No,Yes,Street
Wildberry Pancakes and Cafe,(312) 938-9777,4_half,$$,60601,IL,Chicago,130 E Randolph St,No,Yes,Yes,No
EL Ideas,(312) 226-8144,4_half,$$$$,60608,IL,Chicago,2419 W 14th St,No,No,No,Street
The Panini Republic,(773) 525-2000,4_half,$,60614,IL,Chicago,500 W Diversey Pkwy,Yes,Yes,No,Street
Eddie V’s Prime Seafood and Steak,(312) 595-1114,4_half,$$$,60611,IL,Chicago,521 N Rush St,No,No,No,Valet
CC Ferns Coffee Bar & Spirits,(773) 384-2547,4_half,$$,60622,IL,Chicago,2806 W Augusta Blvd,No,Yes,No,Street
Ignite Gaming Lounge,(773) 404-7033,4_half,$$,60618,IL,Chicago,3341 N Elston Ave,No,No,No,"Street, Private Lot"
Hungry Brain,(773) 687-8230,4_half,$,60618,IL,Chicago,2319 W Belmont Ave,No,No,Yes,Street
Publican Quality Meats,(312) 445-8977,4_half,$$,60607,IL,Chicago,825 W Fulton Market St,No,Yes,Yes,"Street, Private Lot"
La Cocina Boricua de la Familia Galarza,(773) 235-7377,4_half,$,60647,IL,Chicago,2420 W Fullerton Ave,No,Yes,No,Street
Buckingham Fountain,(773) 742-7529,4_half,,60605,IL,Chicago,301 S Columbus Dr,No,No,No,Garage
Buona Terra Ristorante,(773) 289-3800,4_half,$$,60647,IL,Chicago,2535 N California Ave,No,Yes,Yes,Street
Jarabe- Mexican Street Food,(312) 877-5005,4_half,$,60612,IL,Chicago,2255 W Taylor St,Yes,Yes,No,Street
The Aberdeen Tap,(312) 929-3845,4_half,$$,60642,IL,Chicago,440 N Aberdeen St,No,Yes,Yes,Street
Coalfire Pizza,(312) 226-2625,4,$$,60642,IL,Chicago,1321 W Grand Ave,No,Yes,No,Street
Wasabi,(773) 227-8180,4,$$,60647,IL,Chicago,2115 N Milwaukee Ave,No,Yes,Yes,Street
Grant Park,(312) 742-7648,4_half,,60601,IL,Chicago,331 E Randolph St,No,No,No,Garage
Punta Cana Restaurant,(773) 292-7400,4_half,$,60647,IL,Chicago,2200 N Kimball Ave,Yes,Yes,No,No
Breakfast House,(312) 997-2400,4_half,$$,60622,IL,Chicago,1800 W Grand Ave,Yes,Yes,Yes,Street
Boeufhaus,(773) 661-2116,4_half,$$$,60622,IL,Chicago,1012 N Western Ave,No,No,No,Street
JJ Thai Street Food,(312) 929-4435,4_half,$$,60622,IL,Chicago,1715 W Chicago Ave,Yes,Yes,No,Street
T & T Seafood Restaurant,(773) 961-7016,4_half,$,60625,IL,Chicago,3658 W Lawrence Ave,Yes,Yes,No,Street
