Name,Phone,Rate,Price,Zipcode,State,City,Address,Delivery,Takeout,Outdoor,Parking,Wifi
Alinea,(312) 867-0110,4.2,Average $600 for two people (approx.),60614,IL,Chicago,1723 N. Halsted Street,No,No,No,No,No
Signature Room at the 95th,(312) 787-9596,3.8,Average $275 for two people (approx.),60611,IL,Chicago,875 N Michigan Avenue,No,No,No,No,No
Girl & the Goat,(312) 492-6262,4.3,Average $85 for two people (approx.),60607,IL,Chicago,809 W Randolph Street,No,No,Yes,No,No
Portillo's,(312) 587-8910,4.4,Average $30 for two people (approx.),60610,IL,Chicago,100 W Ontario Street,No,Yes,Yes,No,No
Giordano's,(312) 951-0747,4.2,Average $35 for two people (approx.),60611,IL,Chicago,730 N Rush Street,Yes,Yes,Yes,No,No
The Purple Pig,(312) 464-1744,4.8,Average $110 for two people (approx.)Lunch menu $50 for two people (approx.),60611,IL,Chicago,500 N Michigan Avenue,No,Yes,Yes,No,No
Yolk,(312) 789-9655,4.4,Average $35 for two people (approx.),60605,IL,Chicago,1120 S Michigan Avenue,No,Yes,No,No,No
Lou Malnati's Pizzeria,(312) 828-9800,4.2,Average $40 for two people (approx.),60654,IL,Chicago,439 N Wells Street,Yes,Yes,Yes,No,No
Kuma's Corner,(773) 604-8769,4.4,Average $50 for two people (approx.) with alcohol,60618,IL,Chicago,2900 W Belmont Avenue,No,Yes,Yes,No,No
Little Goat Diner,(312) 888-3455,4.2,Average $40 for two people (approx.),60607,IL,Chicago,820 W Randolph Street,No,Yes,Yes,No,No
Bandera,(312) 644-3524,4.3,Average $85 for two people (approx.)Lunch menu $75 for two people (approx.),60611,IL,Chicago,535 N Michigan Avenue,No,Yes,No,No,No
Piece,(773) 772-4422,4.4,Average $35 for two people (approx.),60622,IL,Chicago,1927 W North Avenue,Yes,Yes,No,No,No
The Publican,(312) 733-9555,4.4,Average $60 for two people (approx.),60607,IL,Chicago,837 W Fulton Market,No,No,Yes,No,No
Chicago Pizza & Oven Grinder Company,(773) 248-2570,4.5,Average $65 for two people (approx.),60614,IL,Chicago,2121 N Clark Street,No,Yes,No,No,No
Wildberry Pancakes & Cafe,(312) 938-9777,4,Average $40 for two people (approx.),60601,IL,Chicago,130 E Randolph Street,No,Yes,No,No,No
Frontera Grill,(312) 661-1434,4.2,Average $80 for two people (approx.)Lunch menu $60 for two people (approx.),60654,IL,Chicago,445 North Clark Street,No,Yes,Yes,No,No
Eataly,(312) 521-8700,4.2,Average $50 for two people (approx.),60611,IL,Chicago,43 East Ohio Street,No,Yes,No,No,No
Xoco,(312) 334-3688,4.4,Average $35 for two people (approx.),60654,IL,Chicago,449 N Clark Street,Yes,Yes,No,No,No
Big Star,(773) 235-4039,4.2,Average $50 for two people (approx.) with alcohol,60622,IL,Chicago,1531 N Damen Avenue,No,Yes,Yes,No,No
Pequod's Pizza,(773) 327-1512,4.9,Average $30 for two people (approx.) with alcohol,60614,IL,Chicago,2207 N Clybourn Avenue,Yes,Yes,No,No,No
Grand Lux Cafe,(312) 276-2500,4,Average $55 for two people (approx.),60611,IL,Chicago,600 N Michigan Avenue,No,Yes,No,Yes,No
Avec,(312) 377-2002,4.2,Average $75 for two people (approx.) with alcoholLunch menu $35 for two people (approx.),60661,IL,Chicago,615 W Randolph Street,No,Yes,No,No,No
Gino's East,(312) 266-3337,3.8,Average $40 for two people (approx.),60611,IL,Chicago,162 E Superior Street,Yes,Yes,Yes,No,No
Quartino,(312) 698-5000,4.2,Average $50 for two people (approx.),60654,IL,Chicago,626 N State Street,No,Yes,Yes,No,No
Billy Goat Tavern,(312) 222-1525,3.8,Average $25 for two people (approx.),60611,IL,Chicago,430 N Michigan Avenue,No,Yes,No,No,No
Joe's Seafood,(312) 379-5637,4.2,Average $130 for two people (approx.)Lunch menu $70 for two people (approx.),60611,IL,Chicago,60 E Grand Avenue,Yes,Yes,No,No,No
Smoque BBQ,(773) 545-7427,4.5,Average $35 for two people (approx.),60641,IL,Chicago,3800 N Pulaski Road,No,Yes,No,No,No
Cafe Iberico,(312) 573-1510,4.3,Average $50 for two people (approx.) with alcohol,60610,IL,Chicago,739 N La Salle Drive,Yes,Yes,No,No,No
Blackbird,(312) 715-0708,4.1,Average $130 for two people (approx.)Lunch menu $50 for two people (approx.),60661,IL,Chicago,619 W Randolph Street,No,No,Yes,No,No
Lula Cafe,(773) 489-9554,4.3,Average $65 for two people (approx.)Lunch menu $45 for two people (approx.),60647,IL,Chicago,2537 N. Kedzie Boulevard,No,Yes,Yes,No,No
Carnivale,(312) 850-5005,4.3,Average $80 for two people (approx.)Lunch menu $30 for two people (approx.),60661,IL,Chicago,702 W Fulton Market,No,Yes,Yes,No,No
Gibsons Bar & Steakhouse,(312) 266-8999,4.4,Average $110 for two people (approx.) with alcoholLunch menu $55 for two people (approx.),60611,IL,Chicago,1028 N Rush Street,No,Yes,Yes,No,No
Mindy's Hot Chocolate,(773) 489-1747,4.4,Average $70 for two people (approx.)Lunch menu $50 for two people (approx.),60647,IL,Chicago,1747 N Damen Avenue,No,Yes,No,No,No
Eleven City Diner,(312) 212-1112,4,Average $35 for two people (approx.),60605,IL,Chicago,1112 S Wabash Avenue,Yes,Yes,Yes,No,No
Hopleaf,(773) 334-9851,4.2,Average $80 for two people (approx.) with alcoholLunch menu $30 for two people (approx.),60640,IL,Chicago,5148 N Clark Street,No,Yes,No,No,No
The Gage,(312) 372-4243,4.2,Average $110 for two people (approx.) with alcoholLunch menu $60 for two people (approx.),60603,IL,Chicago,24 S Michigan Avenue,No,Yes,Yes,No,No
Topolobampo,(312) 661-1434,3.9,Average $180 for two people (approx.)Lunch menu $85 for two people (approx.),60654,IL,Chicago,445 North Clark Street,No,No,Yes,No,No
Pizzeria Uno,(312) 321-1000,3.9,Average $50 for two people (approx.),60611,IL,Chicago,29 E Ohio Street,Yes,Yes,Yes,No,No
Heaven on Seven,(630) 717-0777,3.9,Average $45 for two people (approx.),60540,IL,Chicago,224 S Main Street,Yes,Yes,No,No,No
Bob Chinn's Crab House,(847) 520-3633,4.1,Average $100 for two people (approx.),60090,IL,Chicago,393 S Milwaukee Avenue,No,Yes,No,No,No
Shaw's Crab House,(312) 527-2722,4.4,Average $110 for two people (approx.)Lunch menu $90 for two people (approx.),60611,IL,Chicago,21 E Hubbard Street,No,Yes,No,No,No
Longman & Eagle,(773) 276-7110,4.6,Average $100 for two people (approx.)Lunch menu $40 for two people (approx.),60647,IL,Chicago,2657 N Kedzie Avenue,No,No,Yes,No,No
Harry Caray's Italian Steakhouse & Bar,(312) 828-0966,3.7,Average $100 for two people (approx.)Lunch menu $55 for two people (approx.),60654,IL,Chicago,33 W Kinzie Street,No,Yes,Yes,No,No
Weber Grill Restaurant,(312) 467-9696,3.9,Average $100 for two people (approx.)Lunch menu $30 for two people (approx.),60654,IL,Chicago,539 North State Street,No,Yes,Yes,No,No
Greek Islands,(312) 782-9855,4.2,Average $60 for two people (approx.),60661,IL,Chicago,200 S Halsted Street,No,Yes,Yes,No,No
Hub 51,(312) 828-0051,4,Average $50 for two people (approx.) with alcohol,60654,IL,Chicago,51 West Hubbard Street,Yes,Yes,Yes,No,No
Sunda,(312) 644-0500,4.2,Average $80 for two people (approx.)Lunch menu $50 for two people (approx.),60654,IL,Chicago,110 West Illinois Street,No,Yes,Yes,No,No
Italian Village,(312) 332-7005,3.6,Average $75 for two people (approx.)Lunch menu $65 for two people (approx.),60603,IL,Chicago,71 W Monroe Street Italian Village,Yes,Yes,No,No,No
Superdawg Drive-in,(773) 763-0660,4.2,Average $25 for two people (approx.),60646,IL,Chicago,6363 N. Milwaukee Avenue,No,Yes,Yes,No,No
Tango Sur,(773) 477-5466,4.4,Average $50 for two people (approx.),60613,IL,Chicago,3763 North Southport Avenue,No,Yes,Yes,No,No
The Chicago Diner,(773) 935-6696,4.1,Average $35 for two people (approx.),60657,IL,Chicago,3411 North Halsted Street,No,Yes,No,No,No
Mercat a la Planxa,(312) 765-0524,4.3,Average $60 for two people (approx.),60605,IL,Chicago,638 S Michigan Avenue,No,Yes,Yes,No,No
Mike Ditka's - The Tremont,(312) 587-8989,3.9,Average $100 for two people (approx.) with alcoholLunch menu $50 for two people (approx.),60611,IL,Chicago,100 E Chestnut Street,No,Yes,Yes,No,No
Volare,(312) 410-9900,4.2,Average $45 for two people (approx.)Lunch menu $30 for two people (approx.),60611,IL,Chicago,201 E Grand Avenue,No,Yes,Yes,No,No
Heaven on Seven,(312) 263-6443,3.9,Average $35 for two people (approx.),60602,IL,Chicago,111 N Wabash Avenue Garland Building,No,Yes,No,No,No
Au Cheval,(312) 929-4580,4.6,Average $30 for two people (approx.) with alcohol,60607,IL,Chicago,800 W Randolph Street,No,No,Yes,No,No
The Bongo Room,(773) 489-0690,4.2,Average $45 for two people (approx.),60622,IL,Chicago,1470 N Milwaukee Avenue,No,Yes,No,No,No
Manny's Cafeteria & Delicatessen,(312) 939-2855,4.4,Average $30 for two people (approx.),60607,IL,Chicago,1141 S Jefferson Street,No,Yes,No,No,No
Gene & Georgetti,(312) 527-3718,3.9,Average $125 for two people (approx.)Lunch menu $50 for two people (approx.),60654,IL,Chicago,500 N Franklin Street,No,Yes,No,No,No
The Berghoff,(312) 427-3170,3.9,Average $55 for two people (approx.)Lunch menu $40 for two people (approx.),60603,IL,Chicago,17 W Adams Street,No,Yes,No,No,No
Yolk,(312) 822-9655,4.1,Average $35 for two people (approx.)Lunch menu $35 for two people (approx.),60611,IL,Chicago,355 E Ohio Street,No,Yes,Yes,No,No
