1,Bar Tartine,561 Valencia St,3.5,$$$,94110,CA,San Francisco,(415) 487-1600,No,No,Bar Tartine,561 Valencia Street,3.9,$$$,94110,CA,San Francisco,(415) 487-1600,No,No,T
2,Americana,219 Broadway E,4,$$,98102,WA,Seattle,(206) 328-4604,No,Yes,Americano,Hotel Vitale,3.4,$$$,94105,CA,San Francisco,(415) 278-3777,No,No,F
3,Philz Coffee,549 Castro St,4.5,$,94114,CA,San Francisco,(415) 875-9656,No,Yes,Philz Coffee,3101 24th Street,3.9,$,94110,CA,San Francisco,(415) 282-9155,No,No,F
4,Joe's Pizza,7 Carmine St,4,$,10014,NY,New York,(212) 366-1182,Yes,Yes,Joe's Pizza,7 Carmine Street,4.2,$$,10014,NY,New York,(212) 366-1182,Yes,Yes,T
5,Teardrop Park,Warren St,5,0,10005,NY,New York,(212) 267-9700,No,No,Bar Americain,152 W 52nd Street,3.9,$$$$,10019,NY,New York,(212) 265-9700,No,No,F
6,The Grey Dog,242 W 16th St,4,$$,10011,NY,New York,(212) 966-1060,Yes,Yes,The Grey Dog,49 Carmine Street,4.5,$$,10014,NY,New York,(212) 462-0041,Yes,Yes,F
7,Via Tribunali,317 W Galer St,4,$$,98119,WA,Seattle,(206) 264-7768,No,Yes,Via Tribunali,317 W Galer Street,3.9,$$$,98119,WA,Seattle,(206) 264-7768,No,Yes,T
8,Rootstock Wine & Beer Bar,954 N California Ave,4,$$,60622,IL,Chicago,(773) 292-1616,No,No,Rootstock,954 N. California Avenue,3.9,$$,60622,IL,Chicago,(773) 292-1616,No,Yes,T
9,Stones Throw,1896 Hyde St,4.5,$$$,94109,CA,San Francisco,(415) 796-2901,No,No,Stones Throw,1896 Hyde Street,3.3,$$$,94109,CA,San Francisco,(415) 796-2901,No,No,T
10,Feierabend,422 Yale Ave N,4,$$,98109,WA,Seattle,(206) 340-2528,No,No,Feierabend,422 Yale Avenue North,4,$$,98109,WA,Seattle,(206) 340-2528,No,Yes,T
11,Jim's Original Hot Dog,1250 S Union Ave,4,$,60607,IL,Chicago,(312) 733-7820,No,Yes,Jim's Original,1250 S Union Avenue,4,$,60607,IL,Chicago,(312) 733-7820,No,Yes,T
12,Clover Club,210 Smith St,4,$$,11201,NY,Brooklyn,(718) 855-7939,No,No,Clover Club,210 Smith Street,3.8,$$$,11201,NY,Brooklyn,(718) 855-7939,No,Yes,T
13,Twin Anchors Restaurant & Tavern,1655 N Sedgwick St,4,$$,60614,IL,Chicago,(312) 266-1616,No,Yes,Twin Anchors,1655 N. Sedgwick Street,4.3,$$,60614,IL,Chicago,(312) 266-1616,No,Yes,T
14,Il Casaro Pizzeria & Mozzarella Bar,348 Columbus Ave,4.5,$$,94133,CA,San Francisco,(415) 677-9455,No,Yes,Il Casaro,348 Columbus Avenue,3.2,$$,94133,CA,San Francisco,(415) 677-9455,No,Yes,T
15,The Capital Grille,633 N Saint Clair St,4.5,$$$,60611,IL,Chicago,(312) 337-9400,No,No,The Capital Grille,633 North Street  Clair Street,3.8,$$$,60611,IL,Chicago,(312) 337-9400,No,Yes,T
16,Shaw's Crab House,21 E Hubbard St,4,$$$,60611,IL,Chicago,(312) 527-2722,No,Yes,Shaw's Crab House,1900 E Higgins Road,4,$$$,60173,IL,Chicago,(847) 517-2722,No,Yes,F
17,The Little Chihuahua,292 Divisadero St,4,$$,94117,CA,San Francisco,(415) 255-8225,No,Yes,The Little Chihuahua,292 Divisadero Street,4.1,$$,94117,CA,San Francisco,(415) 255-8225,No,Yes,T
18,Nopalito,1224 9th Ave,4,$$,94122,CA,San Francisco,(415) 233-9966,No,Yes,Nopalito,306 Broderick Street,4.3,$$,94117,CA,San Francisco,(415) 437-0303,No,Yes,F
19,Straw,203 Octavia Blvd,4,$$,94102,CA,San Francisco,(415) 431-3663,No,Yes,Straw,203 Octavia Boulevard,3.5,$$,94102,CA,San Francisco,(415) 431-3663,Yes,Yes,T
20,Toast,2046 N Damen Ave,4,$$,60647,IL,Chicago,(773) 772-5600,No,Yes,Toast,746 W Webster Avenue,4.4,$$,60614,IL,Chicago,(773) 935-5600,No,Yes,F
21,Lavash,511 Irving St,4,$$,94122,CA,San Francisco,(415) 664-5555,No,Yes,Lavash,511 Irving Street,3.7,$$,94122,CA,San Francisco,(415) 664-5555,No,No,T
22,Punjabi Grocery & Deli,114 E 1st St,4.5,$,10009,NY,New York,(212) 533-3356,No,Yes,Rosa Mexicano,9 East 18th Street,3.9,$$$,10003,NY,New York,(212) 533-3350,Yes,Yes,F
23,Tilikum Place Cafe,407 Cedar St,4.5,$$,98121,WA,Seattle,(206) 282-4830,No,Yes,Tilikum Place Cafe,407 Cedar Street,4.6,$$$,98121,WA,Seattle,(206) 282-4830,No,Yes,T
24,Taqueria Canccn,2288 Mission St,4,$,94110,CA,San Francisco,(415) 252-9560,No,Yes,Taqueria Cancun,1003 Market Street,3.4,$$,94103,CA,San Francisco,(415) 864-6773,No,Yes,F
25,Via Tribunali,913 E Pike St,4,$$,98122,WA,Seattle,(206) 322-9234,No,Yes,Via Tribunali,913 East Pike Street,3.9,$$$,98122,WA,Seattle,(206) 322-9234,No,Yes,T
26,How To Cook a Wolf,2208 Queen Anne Ave N,4,$$$,98109,WA,Seattle,(206) 838-8090,No,No,Anchovies & Olives,1550 15th Avenue,3.5,$$$,98122,WA,Seattle,(206) 838-8080,No,No,F
27,Glazed & Infused,939 W Armitage Ave,4,$,60614,IL,Chicago,(312) 226-5556,No,Yes,Glazed & Infused,813 W. Fulton Market,3.7,$,60607,IL,Chicago,(312) 226-5556,No,Yes,F
28,Beatrix Streeterville,671 N St Clair,4.5,$$,60611,IL,Chicago,(312) 642-0001,No,Yes,Stanley's Kitchen and Tap,1970 N Lincoln Avenue,3.8,$$,60614,IL,Chicago,(312) 642-0007,No,Yes,F
29,Chefs Club by Food & Wine,275 Mulberry St,4,$$$,10012,NY,New York,(212) 941-1100,No,No,Little Cupcake Bakeshop,30 Prince Street,3.7,$$,10012,NY,New York,(212) 941-9100,No,No,F
30,Serious Pie,316 Virginia St,4,$$,98121,WA,Seattle,(206) 838-7388,No,Yes,Serious Pie,316 Virginia Street,3.8,$$,98101,WA,Seattle,(206) 838-7388,No,Yes,T
31,Sushi Zone,1815 Market St,4,$$,94103,CA,San Francisco,(415) 621-1114,No,No,Sushi Zone,1815 Market Street,3.7,$$,94103,CA,San Francisco,(415) 621-1114,No,No,T
32,Kiki's Bistro,900 N Franklin St,4,$$$,60610,IL,Chicago,(312) 335-5454,No,Yes,Kiki's Bistro,900 N. Franklin Street,3.9,$$$,60610,IL,Chicago,(312) 335-5454,No,No,T
33,Terzo,3011 Steiner St,4,$$$,94123,CA,San Francisco,(415) 441-3200,No,Yes,Terzo,3011 Steiner Street,3.6,$$$,94123,CA,San Francisco,(415) 441-3200,No,No,T
34,Curry Leaf,943 Columbus Ave,4.5,$$,94133,CA,San Francisco,(415) 440-4293,No,Yes,Curry Leaf,943 Columbus Avenue,3,0,94133,CA,San Francisco,(415) 440-4293,No,Yes,T
