ID,Name,Phone,Rate,Price,Zipcode,State,City,Address,Delivery,Takeout
1,Nini's Deli,(312) 243-9822,5,$,60642,IL,Chicago,543 N Noble St,No,Yes
2,Garfield Park Conservatory,(312) 746-5100,5,0,60624,IL,Chicago,300 N Central Park,No,No
3,The Tamale Guy,(000) 000-0000,4.5,$,60622,IL,Chicago,Chicago,Yes,Yes
4,Puppet Bike,(000) 000-0000,5,0,60606,IL,Chicago,Chicago,No,No
5,Alinea,(312) 867-0110,4.5,$$$$,60614,IL,Chicago,1723 N Halsted St,No,No
6,Katherine Anne Confections,(773) 245-1630,4.5,$$,60647,IL,Chicago,2745 W Armitage Ave,No,Yes
7,Spinning J Bakery and Soda Fountain,(872) 829-2793,5,$$,60622,IL,Chicago,1000 N California Ave,No,Yes
8,Kai Zan,(773) 278-5776,4.5,$$$,60622,IL,Chicago,2557 W Chicago Ave,No,No
9,Two Hearted Queen,(773) 360-8189,5,$,60657,IL,Chicago,1201 W Roscoe St,No,Yes
10,Art Institute of Chicago,(312) 443-3600,4.5,0,60603,IL,Chicago,111 S Michigan Ave,No,No
11,Taco Bell,(773) 281-5063,4.5,$,60614,IL,Chicago,2575 North Clybourn,No,Yes
12,Chicago Pizza Tours,(888) 210-3237,5,$$$,60603,IL,Chicago,Chicago,No,No
13,Ipsento,(773) 904-8177,4.5,$,60647,IL,Chicago,2035 N Western Ave,No,Yes
14,Oriole,(312) 877-5339,5,$$$$,60661,IL,Chicago,661 W. Walnut St.,No,No
15,En Hakkore,(773) 772-9880,4.5,$$,60647,IL,Chicago,1840 N Damen Ave,No,Yes
16,J.P. Graziano Grocery Co.,(312) 666-4587,4.5,$,60607,IL,Chicago,901 W Randolph St,Yes,Yes
17,Eva's Cafe,(312) 280-8900,4.5,$,60610,IL,Chicago,1447 N Sedgwick,No,Yes
18,Lincoln Park Alfred Caldwell Lily Pool,(000) 000-0000,5,0,60689,IL,Chicago,Fullerton Pkwy and Cannon Dr,No,No
19,Millennium Park,(312) 742-1168,4.5,0,60602,IL,Chicago,201 E Randolph St,No,No
20,Bavette's Bar & Boeuf,(312) 624-8154,4.5,$$$,60654,IL,Chicago,218 W Kinzie St,No,No
21,Bari,(312) 666-0730,4.5,$,60642,IL,Chicago,1120 W Grand Ave,Yes,Yes
22,B.L.U.E.S.,(773) 528-1012,4.5,$,60614,IL,Chicago,2519 N Halsted St,No,No
23,Ipsento 606,(872) 206-8697,4.5,$$,60647,IL,Chicago,1813 N Milwaukee Ave,No,Yes
24,Sip Coffee House & Garden,(312) 563-1123,4.5,$,60642,IL,Chicago,1223 W Grand Ave,No,Yes
25,The Cloud Gate,(312) 742-1168,4.5,0,60602,IL,Chicago,201 E Randolph St,No,No
26,Cup & Cup,(773) 697-4421,4.5,$,60647,IL,Chicago,2415 W North Ave,No,Yes
27,Lincoln Park Conservatory,(312) 742-7736,4.5,0,60614,IL,Chicago,2391 N Stockton Dr,No,No
28,Star Lounge Coffee Bar,(773) 384-7827,4.5,$,60622,IL,Chicago,2521 W Chicago Ave,No,Yes
29,Girl & the Goat,(312) 492-6262,4.5,$$$,60607,IL,Chicago,809 W Randolph St,No,No
30,Loop Juice,(312) 775-0208,4.5,$,60661,IL,Chicago,131 N Clinton St,No,Yes
31,The Wormhole Coffee,(773) 661-2468,4.5,$,60622,IL,Chicago,1462 N Milwaukee Ave,No,Yes
32,El Habanero,(773) 227-9225,4.5,$,60647,IL,Chicago,3300 W Fullerton Ave,No,Yes
33,Bohemian House,(312) 955-0439,4.5,$$$,60654,IL,Chicago,11 W Illinois St,No,No
34,Vinnie's Sub Shop,(312) 738-2985,4.5,$,60642,IL,Chicago,1204 W Grand Ave,Yes,Yes
35,Scone City,(773) 904-8722,4.5,$,60622,IL,Chicago,1632 W Division St,Yes,Yes
36,Pi-Hi Cafe,(773) 472-7444,4.5,$,60618,IL,Chicago,3539 N Western Ave,Yes,Yes
37,Grace,(312) 234-9494,4.5,$$$$,60661,IL,Chicago,652 W Randolph St,No,No
38,Rosa's Lounge,(773) 342-0452,4.5,$$,60647,IL,Chicago,3420 W Armitage Ave,No,No
39,UB Dogs,(312) 251-7009,4.5,$,60606,IL,Chicago,185 N Franklin St,Yes,Yes
40,The Chicago Diner,(773) 252-3211,4.5,$$,60647,IL,Chicago,2333 N Milwaukee Ave,No,Yes
41,Loving Heart,(773) 561-5399,5,$,60613,IL,Chicago,838 W Montrose Ave,Yes,Yes
42,The Corned Beef Factory Sandwich Shop,(312) 666-2535,4.5,$$,60607,IL,Chicago,1009 W Lake St,Yes,Yes
43,Joe's Seafood,(312) 379-5637,4.5,$$$$,60611,IL,Chicago,60 E Grand Ave,Yes,Yes
44,Ruxbin,(312) 624-8509,4.5,$$$,60622,IL,Chicago,851 N Ashland Ave,No,No
45,DAVIDsTEA,(773) 360-1320,4.5,$$,60657,IL,Chicago,3530 N Southport,No,Yes
46,The Coffee & Tea,(773) 528-2241,4.5,$,60657,IL,Chicago,3311 N Broadway,No,Yes
47,Fogo de Chao Brazilian Steakhouse,(312) 932-9330,4.5,$$$,60654,IL,Chicago,661 N Lasalle Blvd,No,No
48,Puesto Sandwich Stand,(773) 661-2490,5,$,60657,IL,Chicago,3349 N Sheffield Ave,No,Yes
49,D'amato's Bakery,(312) 733-5456,4.5,$,60622,IL,Chicago,1124 W Grand Ave,No,Yes
50,Flub A Dub Chub's,(773) 857-6500,4.5,$,60657,IL,Chicago,3021 N Broadway,Yes,Yes
51,The Bento Box,(773) 278-3932,4.5,$$,60647,IL,Chicago,2246 W Armitage Ave,Yes,Yes
52,Paciugo Broadway,(773) 248-8433,4.5,$,60657,IL,Chicago,3241 N Broadway St,No,Yes
